id	parent	pos	products	name	slug
166	0	10	207	Моторные масла	motor-oil
167	166	140	48	MOBIL	mobil
174	166	10	77	ОРИГИНАЛЬНЫЕ МАСЛА	original-oil
234	166	240	33	SHELL	shell
270	166	20	39	ЛУКОЙЛ	lukoyl
272	166	100	8	G-ENERGY	g-energy
276	166	40	28	CASTROL	castrol
290	166	170	13	NESTE	neste
292	166	190	7	PETRO-CANADA	petro-canada
294	166	150	29	MOTUL	motul
295	166	180	32	NGN	ngn
301	166	110	12	IDEMITSU	idemitsu
335	166	130	18	MOLYGREEN	molygreen
337	166	70	12	ENI	eni
479	166	230	12	РОСНЕФТЬ	rosneft
502	166	160	3	Mannol	mannol
518	166	210	26	RAVENOL	ravenol
528	166	125	48	LIQUIMOLY	liquimoly
530	166	95	12	FQ	fujito-quality
670	166	220	7	REPSOL	repsol
671	166	30	17	BARDAHL	bardahl
672	166	260	9	TCL	tcl
674	166	200	3	PROFIX	profix
675	166	270	19	TOTAL	total
676	166	80	13	ELF	elf
677	166	120	15	KIXX	kixx-ru
678	166	300	9	ZIC	zic
679	166	230	10	ROLF	rolf-ru
680	166	250	10	SINTEC	sintec
681	166	280	8	TOTACHI	totachi
682	166	90	7	ENEOS	eneos
689	166	60	2	CHAMPION	champion
690	166	290	5	TAKAYAMA	takayama
701	166	310	2	ГАЗПРОМ	gazprom
719	166	330	13	CWORKS	cworks
726	166	350	5	RIXX	rixx
728	166	360	1	BP Visco	bp-visco
731	166	380	2	TEXACO	texaco
733	166	400	3	ALPHA`S	alphas
734	166	410	5	AUTOBACS	autobacs
735	166	420	7	MITASU	mitasu
742	166	460	11	TEBOIL	teboil
751	166	490	1	NORD OIL 	nord-oil
203	0	20	60	Трансмиссионные масла	sport-i-otdyh
297	203	40	18	NGN	ngn
307	203	50	11	TOYOTA	toyota
331	203	70	8	TOTACHI	totachi
691	203	80	11	NISSAN	nissan
692	203	90	9	HONDA	kia-hyundai
693	203	100	4	MITSUBISHI	mitsubishi
694	203	110	2	KIA/HYUNDAI	kia-hyundai-ru
706	203	120	2	MAZDA	mazda
707	203	130	1	GM	gm
708	203	140	4	ZIC	zic
709	203	150	1	MERCEDES	mercedes
738	203	160	3	ЛУКОЙЛ	lukoyl
741	203	170	1	MOLYGREEN	molygreen
744	203	180	1	ROLF	rolf
250	0	80	46	Аккумуляторы	kancelyarskie-tovary
313	250	10	13	Topla	topla
317	250	20	13	Tyumen	tyumen
321	250	30	8	Mutlu	mutlu
327	250	40	16	BORG | UNO | Dominator	topbat
494	250	5	22	Tubor	tubor
727	250	60	2	Zeus	zeus
737	250	70	1	XTREME	xtreme
752	250	80	5	Forse/ Sebang	forse-sebang
323	0	190	26	Фильтры	kolodki-tormoznye
510	413	60	0	Titan	titan
489	0	210	0	Мототехника	mototehnika
491	489	10	12	Motul	motul
524	0	240	37	Автозапчасти УАЗ	avtozapchasti-uaz
526	0	250	46	Лампы	lampy
684	526	10	16	Светодиодные	svetodiodnye
685	526	20	23	Галогеновые 	galogenovye
688	526	40	6	Ксеноновые	xenon
668	0	260	1	she	she
683	0	270	21	Антифриз	antifriz
753	0	300	6	Запчасти хонда бу	zapchasti-honda-bu

